episode,ep_rew,ep_len
1433,-13.0,8
1434,-11.0,13
1435,-110.0,100
1436,-127.0,100
1437,-16.0,16
1438,-32.0,35
1439,-46.0,46
1440,-15.0,17
1441,-42.0,36
1442,-57.0,57
1443,-38.0,38
1444,-85.0,85
1445,-110.0,100
1446,-11.0,11
1447,-20.0,20
1448,-10.0,7
1449,-10.0,15
1450,-22.0,27
1451,-11.0,31
1452,-11.0,8
1453,-17.0,17
1454,-110.0,100
1455,-15.0,16
1456,-35.0,35
1457,-40.0,40
1458,-12.0,9
1459,-37.0,37
1460,-19.0,20
1461,-22.0,24
1462,-110.0,100
1463,-10.0,19
1464,-10.0,8
1465,-110.0,100
1466,-21.0,23
1467,-10.0,9
1468,-10.0,10
1469,-23.0,25
1470,-110.0,100
1471,-110.0,100
1472,-10.0,13
1473,-19.0,18
1474,-75.0,75
1475,-12.0,11
1476,-14.0,17
1477,-36.0,55
1478,-11.0,11
1479,-17.0,16
1480,-16.0,16
1481,-12.0,25
1482,-21.0,31
1483,-13.0,16
1484,-12.0,11
1485,-110.0,100
1486,-83.0,83
1487,-18.0,31
1488,-12.0,13
1489,-22.0,20
1490,-18.0,17
